year,iso3_code,fishery_name,fishery_id,fao_area_code,gear,total_catch_fishery,catch_w_discard,scaleup_id,fao_landing_c_name,depth,location,vessel_length,un_code,identifier,iso2_code,official_name_en,watson_country_id,watson_c_name,fao_c_name,productive_sector,fisheries_sector,GilmanGear25Description,GFWClass,GFWCategory
2017,AGO,Angola SEAO longline tuna fishery,8,47,LLP,14417,14606.891070201274,4,Angola,NA,none,none,024,7,AO,the Republic of Angola,24,Angola,Angola,none,industrial,Longlines - pelagic,drifting_longlines,drifting_longlines
2017,AGO,Industrial Demersal Finfish Trawl (OTB),14,47,OTB,49175.99,71166.41085405863,10,Angola,0-100m,Inshore,10-24 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,AGO,Industrial Inshore Crustacean Trawl (TBS),15,47,OTS,2171.9,4815.742418507153,11,Angola,0-100m,Inshore,10-24 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,Shrimp trawl,trawlers,trawlers
2017,AGO,Industrial Offshore Crustacean Trawl (TBD),16,47,OTS,1814.5,4023.281776740095,12,Angola,>500m,Offshore,10-24 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,Shrimp trawl,trawlers,trawlers
2017,AGO,Industrial Small Pelagic Purse Seine (PS),17,47,PS_,247657.65000000005,259871.61650219033,13,Angola,0-100m,Inshore,24-40 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,Purse seine,other_seines,seiners
2017,AGO,Industrial Tuna Purse Seine (PS),18,47,PS_,1576.8999999999999,1678.7435996259244,14,Angola,100-500m,Offshore,24-40 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,Purse seine,other_seines,seiners
2017,AGO,Industrial Tuna Surface Longline (LL),19,47,LLP,490.90000000000003,497.36558353353394,15,Angola,100-500m,Offshore,10-24 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,Longlines - pelagic,drifting_longlines,drifting_longlines
2017,AGO,Semi Industrial Deep Water Crab Trap (FPO),21,47,FPO,1303.2,1562.590292167055,17,Angola,>500m,Offshore,10-24 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,Pots,pots_and_traps,pots_and_traps
2017,AGO,Semi Industrial Large Pelagic Pole & Line (LHP),22,47,PL_,248.95,274.7816876461687,18,Angola,100-500m,Inshore,10-24 m,024,7,AO,the Republic of Angola,24,Angola,Angola,industrial,industrial,Pole-and-line,pole_and_line,pole_and_line
2017,ALB,Albania PS Med BFT fishery,1,37,PS_,57,59.81023255813953,25,Albania,NA,none,none,008,3,AL,the Republic of Albania,8,Albania,Albania,none,industrial,Purse seine,other_seines,seiners
2017,ARG,Patagonian beam trawls,37,41,TBB,166509.8,306647.88220890035,32,Argentina,NA,none,none,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,Beam trawls,trawlers,trawlers
2017,ARG,Patagonian bottom longlines,38,41,LLB,1591.51,2091.3398423401177,33,Argentina,NA,none,none,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,Longlines - bottom,set_longlines,set_longlines
2017,ARG,Patagonian coastal trawlers,39,41,OTB,113563.45999999999,164346.54153532625,34,Argentina,NA,Offshore,10-24 m,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,ARG,Patagonian midwater trawls,40,41,OTM,213161.85,214880.8971184223,35,Argentina,NA,none,none,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,"Otter trawls, midwater",trawlers,trawlers
2017,ARG,Patagonian shrimp trawls,41,41,OTT,170287.59999999998,493587.2455777632,36,Argentina,NA,none,none,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,Otter twin trawls,trawlers,trawlers
2017,ARG,Patagonian squid jiggers,42,41,HL_,84294.5,93143.09427277288,37,Argentina,NA,none,>40 m,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,Handlines,pole_and_line,pole_and_line
2017,ARG,Patagonian surimi processors,43,41,OTB,23941.65,34647.82919441462,38,Argentina,NA,none,>40 m,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,ARG,Patagonian traps,44,41,FPO,2377.9700000000003,2851.282894849127,39,Argentina,NA,none,none,032,9,AR,the Argentine Republic,32,Argentina,Argentina,none,industrial,Pots,pots_and_traps,pots_and_traps
2017,AUS,Australia EIO driftnet fishery,50,57,GNP,16313.04,18474.563505646507,47,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Pelagic gillnets,driftnets,driftnets
2017,AUS,Australia EIO HL fishery,51,57,HL_,8159.17,9015.657558125122,48,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Handlines,pole_and_line,pole_and_line
2017,AUS,Australia EIO longline fishery,52,57,LLP,142.36,153.73675781128074,49,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Longlines - pelagic,drifting_longlines,drifting_longlines
2017,AUS,Tasmanian Southern Rock Lobster,57,57,FPO,25633.739999999998,30735.89964780987,54,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Pots,pots_and_traps,pots_and_traps
2017,AUS,Antarctic longlines,58,58,LLB,2601.68,3418.7642673905607,55,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Longlines - bottom,set_longlines,set_longlines
2017,AUS,Antarctic bottom trawls,59,58,OTB,1836.4999999999998,2657.741812426218,56,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,AUS,Australia WCPO longline tuna fishery,60,71,LLP,2945.63,3036.7317976184386,57,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Longlines - pelagic,drifting_longlines,drifting_longlines
2017,AUS,Commonwealth Northern Prawn,62,71,OTS,15035.16,53696.99999999999,59,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Shrimp trawl,trawlers,trawlers
2017,AUS,Queensland Coral Reef Finfish,63,71,PL_,1789.8999999999999,2030.4004782852458,60,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Pole-and-line,pole_and_line,pole_and_line
2017,AUS,Queensland East Coast Otter Trawl,65,71,OTB,9665.46,42023.73865096822,62,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,AUS,Queensland Gulf of Carpentaria Line,66,71,PL_,3579.7999999999997,3839.544971751412,63,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Pole-and-line,pole_and_line,pole_and_line
2017,AUS,NSW Estuary Prawn Trawl,69,81,OTS,4177.58,5836.550968438209,66,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Shrimp trawl,trawlers,trawlers
2017,AUS,NSW Ocean Fish Trawl,70,81,OTB,3317.4900000000002,6104.181491751647,67,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,AUS,Queensland Spanner crab,72,81,FPO,614.35,728.2509473492942,69,Australia,NA,none,none,036,10,AU,Australia,36,Australia,Australia,none,industrial,Pots,pots_and_traps,pots_and_traps
2017,BEL,British islands grounds beam trawls for flatfish,99,27,TBB,5755.6500000000005,13385.232535470814,70,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,Beam trawls,trawlers,trawlers
2017,BEL,British islands grounds dredges,100,27,DRB,200.64000000000001,232.7608259717315,71,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,Boat dredges,dredge_fishing,dredge_fishing
2017,BEL,British islands grounds scottish seine for finfish,101,27,SV_,90.85,394.9996666103983,72,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,Boat seines,other_seines,seiners
2017,BEL,North Sea beam trawls for flatfish,102,27,TBB,13773.78,26111.43115688075,73,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,Beam trawls,trawlers,trawlers
2017,BEL,North Sea dredges,103,27,DRB,217.98000000000002,252.87701620248976,74,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,Boat dredges,dredge_fishing,dredge_fishing
2017,BEL,North Sea otter bottom trawls,104,27,OTB,2327.31,3368.0315337692514,75,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,BEL,North Sea otter bottom trawls for flatfish,105,27,OTB,570.36,1645.2690185989381,76,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,"Otter trawls, bottom",trawlers,trawlers
2017,BEL,North Sea Scottish seine for finfish,106,27,SV_,1279.43,2589.9398379103254,77,Belgium,NA,none,none,056,255,BE,the Kingdom of Belgium,56,Belgium,Belgium,none,industrial,Boat seines,other_seines,seiners
